0	0.02068	0.02441	0.01723	0.02243	0.0179	0.08061	0.04323	0.04097	0.04314	0.09964	0.05052	0.06873	0.05275	0.07317	0.06602	0.08829	0.07667	0.06011	0.09488	0.11215	0.13319	0.09711	0.15238	0.105	0.20963
0.02068	0	0.03153	0.01692	0.01809	0.02495	0.07703	0.05341	0.05058	0.04851	0.09282	0.05991	0.0844	0.06736	0.0833	0.07826	0.09645	0.08277	0.06655	0.10356	0.1223	0.1428	0.09399	0.15268	0.10865	0.20898
0.02441	0.03153	0	0.01269	0.00883	0.00405	0.06864	0.04807	0.04235	0.03668	0.08857	0.05432	0.08393	0.05962	0.07654	0.06985	0.09202	0.08261	0.05997	0.09668	0.12238	0.13498	0.10353	0.14443	0.11351	0.21338
0.01723	0.01692	0.01269	0	0.00622	0.00691	0.07393	0.05026	0.04439	0.04171	0.08921	0.05417	0.07803	0.05762	0.07506	0.06702	0.08904	0.07826	0.05919	0.09149	0.12021	0.13363	0.09844	0.14017	0.10567	0.20508
0.02243	0.01809	0.00883	0.00622	0	0.0029	0.06476	0.04833	0.04164	0.03799	0.08514	0.0532	0.07836	0.05831	0.07269	0.06672	0.08786	0.07648	0.0553	0.09104	0.1202	0.13413	0.09635	0.15097	0.10732	0.21675
0.0179	0.02495	0.00405	0.00691	0.0029	0	0.06682	0.04716	0.04031	0.03534	0.08404	0.05215	0.07767	0.05625	0.07273	0.0662	0.08735	0.07792	0.05719	0.09163	0.11751	0.13089	0.09591	0.13854	0.10357	0.20174
0.08061	0.07703	0.06864	0.07393	0.06476	0.06682	0	0.06709	0.05394	0.03432	0.02141	0.07762	0.10058	0.08922	0.09108	0.09932	0.09483	0.08454	0.05755	0.10882	0.13196	0.16392	0.07054	0.17833	0.11511	0.26603
0.04323	0.05341	0.04807	0.05026	0.04833	0.04716	0.06709	0	0.02741	0.03506	0.09542	0.03038	0.04509	0.03378	0.0387	0.03544	0.06205	0.04657	0.03296	0.07032	0.10197	0.10679	0.09791	0.13779	0.11095	0.20668
0.04097	0.05058	0.04235	0.04439	0.04164	0.04031	0.05394	0.02741	0	0.02256	0.06356	0.03192	0.03996	0.02749	0.03105	0.03818	0.02783	0.01852	0.01163	0.04199	0.07998	0.08121	0.05654	0.08597	0.07918	0.18649
0.04314	0.04851	0.03668	0.04171	0.03799	0.03534	0.03432	0.03506	0.02256	0	0.03503	0.04743	0.06444	0.04815	0.05587	0.06038	0.065	0.05672	0.04094	0.07225	0.10469	0.1178	0.07543	0.12976	0.08722	0.19136
0.09964	0.09282	0.08857	0.08921	0.08514	0.08404	0.02141	0.09542	0.06356	0.03503	0	0.09462	0.11566	0.10294	0.09772	0.11046	0.10276	0.09817	0.07273	0.11313	0.14512	0.18002	0.09246	0.18246	0.11426	0.27309
0.05052	0.05991	0.05432	0.05417	0.0532	0.05215	0.07762	0.03038	0.03192	0.04743	0.09462	0	0.02428	0.00962	0.03692	0.02865	0.05824	0.04426	0.03594	0.05413	0.08354	0.09012	0.07969	0.12287	0.10485	0.18705
0.06873	0.0844	0.08393	0.07803	0.07836	0.07767	0.10058	0.04509	0.03996	0.06444	0.11566	0.02428	0	0.01884	0.032	0.03164	0.06297	0.05009	0.04618	0.05593	0.07617	0.09646	0.08266	0.13108	0.10164	0.17398
0.05275	0.06736	0.05962	0.05762	0.05831	0.05625	0.08922	0.03378	0.02749	0.04815	0.10294	0.00962	0.01884	0	0.03049	0.02378	0.05203	0.04149	0.03257	0.05003	0.09281	0.09281	0.08179	0.13675	0.10283	0.2002
0.07317	0.0833	0.07654	0.07506	0.07269	0.07273	0.09108	0.0387	0.03105	0.05587	0.09772	0.03692	0.032	0.03049	0	0.01056	0.04776	0.03691	0.02486	0.03667	0.08845	0.07419	0.0943	0.12951	0.10559	0.18827
0.06602	0.07826	0.06985	0.06702	0.06672	0.0662	0.09932	0.03544	0.03818	0.06038	0.11046	0.02865	0.03164	0.02378	0.01056	0	0.0644	0.05037	0.03315	0.06102	0.10289	0.09558	0.10852	0.14685	0.11111	0.19604
0.08829	0.09645	0.09202	0.08904	0.08786	0.08735	0.09483	0.06205	0.02783	0.065	0.10276	0.05824	0.06297	0.05203	0.04776	0.0644	0	0.01194	0.01865	0.04427	0.09876	0.07384	0.07058	0.08953	0.10604	0.21217
0.07667	0.08277	0.08261	0.07826	0.07648	0.07792	0.08454	0.04657	0.01852	0.05672	0.09817	0.04426	0.05009	0.04149	0.03691	0.05037	0.01194	0	0.01198	0.0369	0.09056	0.07279	0.06631	0.07916	0.09958	0.19512
0.06011	0.06655	0.05997	0.05919	0.0553	0.05719	0.05755	0.03296	0.01163	0.04094	0.07273	0.03594	0.04618	0.03257	0.02486	0.03315	0.01865	0.01198	0	0.03919	0.08607	0.06959	0.06553	0.09455	0.09988	0.19959
